epoch,loss_a,loss_b
0,0.8631322383880615,12.646490097045898
0,0.8526536226272583,17.200408935546875
0,0.7236098051071167,12.288773536682129
0,0.7645695209503174,10.741653442382812
0,0.8103771805763245,11.095348358154297
0,0.7293120622634888,10.000832557678223
0,0.7922109365463257,15.05517578125
0,0.742435097694397,12.488336563110352
0,0.876483678817749,7.539337158203125
0,0.7086199522018433,17.514198303222656
0,0.7879354357719421,7.265558242797852
0,0.7881296873092651,9.784814834594727
0,0.6752253174781799,10.898580551147461
0,0.7270771265029907,6.6873931884765625
0,0.7350443005561829,8.678237915039062
0,0.7061777114868164,11.669136047363281
0,0.6621737480163574,13.961041450500488
0,0.7188225984573364,8.985692977905273
0,0.6219742298126221,10.37650203704834
0,0.5952166318893433,6.911115646362305
0,0.5857029557228088,7.068134307861328
0,0.6614525318145752,6.75236701965332
0,0.6475274562835693,6.071501731872559
0,0.7282625436782837,9.170585632324219
0,0.6809568405151367,5.306860446929932
0,0.6749945282936096,7.95108699798584
0,0.6966522932052612,5.97976016998291
0,0.7007185816764832,3.4882588386535645
0,0.6500493884086609,7.049800395965576
0,0.6199291944503784,8.555380821228027
0,0.6657454967498779,4.250598907470703
0,0.6718301773071289,5.809968948364258
0,0.8027845621109009,7.385921478271484
0,0.7097964286804199,4.86600399017334
0,0.609528660774231,2.547964096069336
0,0.7525798082351685,4.637598514556885
0,0.5657410025596619,6.888994216918945
0,0.7121132612228394,4.919381141662598
0,0.6193257570266724,5.835649490356445
0,0.5339645743370056,3.1417598724365234
0,0.5949246883392334,5.394466876983643
0,0.6393071413040161,3.4203414916992188
0,0.7544770240783691,4.568800926208496
0,0.5163652300834656,3.182734966278076
0,0.587905764579773,4.61829948425293
0,0.6277010440826416,4.258923053741455
0,0.5105533599853516,3.67500638961792
0,0.5865098237991333,4.121268272399902
0,0.5156110525131226,4.795548439025879
0,0.5754677057266235,3.2075929641723633
0,0.5747367739677429,2.6421213150024414
0,0.534561812877655,2.5532288551330566
0,0.587485134601593,3.14089035987854
0,0.6073997020721436,2.4373726844787598
0,0.5288983583450317,3.264453411102295
0,0.5262906551361084,1.1059134006500244
0,0.6259844303131104,2.205622434616089
0,0.6568233370780945,2.4368343353271484
0,0.5892627835273743,1.9471513032913208
0,0.5845735669136047,2.1738126277923584
0,0.5379558205604553,2.5434789657592773
0,0.5373007655143738,1.2709041833877563
0,0.511017918586731,1.6204211711883545
0,0.714884877204895,1.926904320716858
0,0.5189435482025146,1.228841781616211
0,0.6129004955291748,2.9940876960754395
0,0.5650197267532349,0.788819432258606
0,0.6191800832748413,1.0028314590454102
0,0.5257934927940369,1.3215928077697754
0,0.5088011622428894,1.1221919059753418
0,0.47795912623405457,2.1851303577423096
0,0.4911468029022217,1.0642855167388916
0,0.4698253571987152,1.142243504524231
0,0.5619361996650696,1.8324147462844849
0,0.5129367709159851,0.6793023943901062
0,0.527894914150238,0.6298640966415405
0,0.5865142941474915,0.6328221559524536
0,0.49401238560676575,0.7394622564315796
0,0.4544029235839844,0.8048616051673889
0,0.5222717523574829,1.1777559518814087
0,0.5079154968261719,0.6413305997848511
0,0.4481244385242462,0.7325880527496338
0,0.519906759262085,0.5062037706375122
0,0.5606060028076172,1.0684386491775513
0,0.4986327886581421,0.7656842470169067
0,0.5304794311523438,0.4058859050273895
0,0.5642832517623901,0.6091130375862122
0,0.5357863903045654,0.9911694526672363
0,0.5114908814430237,0.9042878150939941
0,0.5063537955284119,0.6912856698036194
0,0.44031453132629395,0.9132497310638428
0,0.47402316331863403,0.33883950114250183
0,0.42956027388572693,0.3064785301685333
0,0.5235737562179565,1.71005117893219
0,0.48117417097091675,0.3967624008655548
