step,cosine_similarity
0,-0.03825037181377411
1,0.025388864800333977
2,0.0715106874704361
3,-0.08838710933923721
4,-0.0423007607460022
5,0.03188945725560188
6,0.08118302375078201
7,0.02536618523299694
8,-0.04643060266971588
9,0.048429910093545914
10,0.14346745610237122
11,0.08639824390411377
12,-0.028836851939558983
13,-0.04803800955414772
14,0.0401206910610199
15,0.04302215203642845
16,0.07905051112174988
17,-0.0026651620864868164
18,-0.04843343794345856
19,0.13517531752586365
20,0.1592077761888504
21,-0.0784442350268364
22,0.01663331687450409
23,-0.07420069724321365
24,0.07218289375305176
25,0.10185077041387558
26,-0.08519819378852844
27,-0.04559093713760376
28,-0.007354803383350372
29,0.02612542361021042
30,-0.025294093415141106
31,0.05442775785923004
32,0.09814605861902237
33,0.007254512514919043
34,0.04970138892531395
35,0.033232010900974274
36,0.00795695185661316
37,-0.020213713869452477
38,5.715897350455634e-05
39,0.19343280792236328
40,0.042993463575839996
41,-0.03154152259230614
42,-0.09994862228631973
43,-0.07441720366477966
44,-0.0815938413143158
45,-0.17133158445358276
46,-0.1183076947927475
47,-0.08015536516904831
48,0.028575265780091286
49,0.036607153713703156
50,-0.011837078258395195
51,0.15284983813762665
52,-0.12710869312286377
53,0.01143705751746893
54,0.07322844117879868
55,0.08658456057310104
56,0.034381501376628876
57,-0.09688369184732437
58,-0.05162197723984718
59,-0.04525872319936752
60,0.029485926032066345
61,-0.04401759058237076
62,-0.04831468313932419
63,-0.028053997084498405
64,-0.01394374668598175
65,0.014247965067625046
66,-0.07190311700105667
67,-0.06425228714942932
68,0.03798509016633034
69,-0.01023111492395401
70,0.022297753021121025
71,-0.008432308211922646
72,-0.014271581545472145
73,0.0034410234075039625
74,-0.022815275937318802
75,0.0760728269815445
76,-0.05310574918985367
77,0.06601966172456741
78,0.04915466904640198
79,0.02226708084344864
80,-0.018869899213314056
81,0.002863875823095441
82,0.05511124059557915
83,0.1438571810722351
84,-0.02563881315290928
85,0.10831820964813232
86,0.012945263646543026
87,-0.020305916666984558
88,0.07627130299806595
89,0.061872486025094986
90,-0.1572123020887375
91,-0.01622498780488968
92,0.09869367629289627
93,0.09185947477817535
94,0.042603377252817154
95,-0.03760577365756035
96,0.02664877101778984
97,0.11965423077344894
98,-0.03704885020852089
99,0.10653118044137955
100,0.05376296862959862
101,0.05838996171951294
102,0.05243200808763504
103,0.08839422464370728
104,-0.1407698392868042
105,-0.011610468849539757
106,0.09060510993003845
107,0.12242713570594788
108,0.03190868720412254
109,0.004951394163072109
110,-0.02176585979759693
111,0.043157972395420074
112,0.002814631210640073
113,-0.025692537426948547
114,-0.040460746735334396
115,0.024901067838072777
116,0.021512188017368317
117,0.053694263100624084
118,-0.03862440213561058
119,0.10200571268796921
120,0.06725604832172394
121,-0.027510689571499825
122,0.10555589199066162
123,0.11640886217355728
124,0.08113424479961395
125,0.006314280908554792
126,-0.1512148231267929
127,-0.027749257162213326
128,-0.12411157041788101
129,-0.008997195400297642
130,-0.09444161504507065
131,-0.021647531539201736
132,0.07358900457620621
133,-0.06702127307653427
134,-0.14125578105449677
135,0.056320760399103165
136,-0.09448841214179993
137,-0.014150488190352917
138,0.044069986790418625
139,-0.10639636218547821
140,-0.04112936928868294
141,0.09188829362392426
142,-0.059600286185741425
143,0.04875027760863304
144,0.04833826795220375
145,0.09251275658607483
146,0.07619937509298325
147,-0.04112822562456131
148,0.09004795551300049
149,0.006836102344095707
150,0.03138019144535065
151,-0.044483084231615067
152,-0.061338506639003754
153,-0.09623432904481888
154,-0.051930610090494156
155,-0.1135481745004654
156,-0.04916016012430191
157,0.013592571020126343
158,-0.0766780897974968
159,-0.03948699310421944
160,-0.023062290623784065
161,0.01974109187722206
162,0.003411434357985854
163,0.0517386756837368
164,-0.0836508646607399
165,-0.16519354283809662
166,0.013035193085670471
167,0.0188754890114069
168,-0.017715027555823326
169,-0.1102447584271431
170,0.04109210893511772
171,0.01093447208404541
172,-0.058675576001405716
173,0.04156289994716644
174,-0.025599569082260132
175,-0.018523357808589935
176,-0.044659558683633804
177,0.013676989823579788
178,0.015925997868180275
179,-0.044127654284238815
180,0.008876299485564232
181,0.09692584723234177
182,0.014707895927131176
183,-0.003056297777220607
184,0.04590734839439392
185,0.07198356091976166
186,0.05936003848910332
187,0.00577654130756855
188,-0.01522492803633213
189,0.09504782408475876
190,-0.01997598260641098
191,-0.07259169965982437
192,0.09036865830421448
193,0.03820304945111275
194,-0.06751639395952225
195,0.00034084272920154035
196,0.011458683758974075
197,0.05924741551280022
198,0.09664759039878845
199,0.05236054211854935
200,-0.017290838062763214
201,0.02153468132019043
202,0.01582338474690914
203,0.06245047226548195
204,-0.07938419282436371
205,0.01315607875585556
206,0.04645702615380287
207,-0.029134409502148628
208,0.0684533417224884
209,-0.1153213232755661
210,0.008501049131155014
211,-0.13116973638534546
212,-0.1173471212387085
213,-0.003334915731102228
214,0.005635211709886789
215,-0.06605137884616852
216,0.07061926275491714
217,-0.08812519907951355
218,-0.04392024502158165
219,0.09212000668048859
220,-0.05757589638233185
221,0.01879642717540264
222,0.0765979140996933
223,0.06631309539079666
224,-0.0272288266569376
225,-0.0385100357234478
226,0.03264225646853447
227,-0.017584560438990593
228,0.002170525025576353
229,-0.07490060478448868
230,-0.0681549459695816
231,0.012364545837044716
232,0.02065195143222809
233,-0.08890075236558914
234,0.00785890407860279
235,-0.047728247940540314
236,-0.06719720363616943
237,0.050566092133522034
238,0.01729261502623558
239,0.025338469073176384
240,-0.0790078267455101
241,0.06287610530853271
242,-0.05833191052079201
243,0.03562555089592934
244,-0.03352927789092064
245,-0.011953040957450867
246,-0.03702618181705475
247,0.0003963193448726088
248,0.020342066884040833
249,0.025893501937389374
250,-0.01363133080303669
251,0.08290085196495056
252,-0.07534243911504745
253,-0.05082094669342041
254,0.07958603650331497
255,0.10439814627170563
256,-0.022484203800559044
257,-0.024436404928565025
258,0.03596476465463638
259,0.04841102287173271
260,-0.03276105225086212
261,0.023968402296304703
262,-0.06530752778053284
263,0.016582373529672623
264,0.03382662683725357
265,0.08390315622091293
266,-0.06249496713280678
267,0.01905078999698162
268,0.01157357171177864
269,-0.02261892333626747
270,0.03225022554397583
271,-0.041438572108745575
272,-0.05381789058446884
273,-0.03029654361307621
274,0.019491814076900482
275,-0.049289412796497345
276,0.008112688548862934
277,0.0041883839294314384
278,-0.03187263384461403
279,-0.10477050393819809
280,-0.04020579531788826
281,0.016186311841011047
282,-0.05199738219380379
283,0.011831206269562244
284,0.01748841069638729
285,-0.09901830554008484
286,-0.08087571710348129
287,0.05712330341339111
288,0.05409102514386177
289,0.04571228474378586
290,-0.019377876073122025
291,-0.022938424721360207
292,0.07841460406780243
293,0.04208672419190407
294,0.023846017196774483
295,-0.08810717612504959
296,0.08671122789382935
297,-0.024527132511138916
298,-0.09769657999277115
299,0.01704101264476776
300,-0.08411751687526703
301,0.1576046496629715
302,0.02774733304977417
303,-0.04076819494366646
304,-0.026750031858682632
305,-0.0038578580133616924
306,0.05142398178577423
307,-0.008269084617495537
308,0.014702453278005123
309,-0.03330190107226372
310,-0.0035513953771442175
311,-0.07965487241744995
312,-0.08223118633031845
313,0.08813615888357162
314,-0.04632485285401344
315,0.062243275344371796
316,-0.047115594148635864
317,0.0625731572508812
318,-0.02510053478181362
319,0.0407751128077507
320,-0.03891446068882942
321,0.0019000101601704955
322,0.0012541634496301413
323,0.056607380509376526
324,-0.09054232388734818
325,-0.019379720091819763
326,0.01897631399333477
327,-0.032099734991788864
328,0.030738897621631622
329,-0.010218084789812565
330,-0.02891182340681553
331,0.031204715371131897
332,0.04499540850520134
333,0.013221457600593567
334,0.04632896929979324
335,0.08854246884584427
336,0.05983181297779083
337,-0.02212837152183056
338,-0.11598163098096848
339,0.010303858667612076
340,0.014802037738263607
341,-0.024338994175195694
342,0.04278730973601341
343,-0.015258582308888435
344,0.06701919436454773
345,0.015724411234259605
346,0.06456313282251358
347,-0.00888041127473116
348,-0.030272582545876503
349,0.052617691457271576
350,0.046016477048397064
351,0.029201416298747063
352,-0.030337348580360413
353,0.014514644630253315
354,0.043883033096790314
355,0.03705442324280739
356,0.004404635168612003
357,0.018030015751719475
358,-0.08008383959531784
359,-0.0825686976313591
360,0.013886338099837303
361,-0.08614423125982285
362,0.040390290319919586
363,0.11325711756944656
364,-0.06806644797325134
365,0.026416195556521416
366,-0.0025763348676264286
367,0.036475300788879395
368,0.033397141844034195
369,0.05274321511387825
